area_code,country,state,city,region,latitude,longitude,timezone
201,USA,New Jersey,Jersey City,Northern NJ,40.7178,-74.0431,America/New_York
202,USA,District of Columbia,Washington,DC Metro,38.9072,-77.0369,America/New_York
203,USA,Connecticut,New Haven,Southwest CT,41.3083,-72.9279,America/New_York
205,USA,Alabama,Birmingham,Central AL,33.5186,-86.8104,America/Chicago
206,USA,Washington,Seattle,Western WA,47.6062,-122.3321,America/Los_Angeles
207,USA,Maine,Portland,All of ME,43.6591,-70.2568,America/New_York
208,USA,Idaho,Boise,All of ID,43.6150,-116.2023,America/Denver
209,USA,California,Stockton,Central CA,37.9577,-121.2908,America/Los_Angeles
210,USA,Texas,San Antonio,South TX,29.4241,-98.4936,America/Chicago
212,USA,New York,New York City,Manhattan,40.7128,-74.0060,America/New_York
213,USA,California,Los Angeles,Downtown LA,34.0522,-118.2437,America/Los_Angeles
214,USA,Texas,Dallas,North TX,32.7767,-96.7970,America/Chicago
215,USA,Pennsylvania,Philadelphia,Eastern PA,39.9526,-75.1652,America/New_York
216,USA,Ohio,Cleveland,Northeast OH,41.4993,-81.6944,America/New_York
217,USA,Illinois,Springfield,Central IL,39.7817,-89.6501,America/Chicago
218,USA,Minnesota,Duluth,Northern MN,46.7867,-92.1005,America/Chicago
219,USA,Indiana,Gary,Northwest IN,41.5934,-87.3464,America/Chicago
224,USA,Illinois,Arlington Heights,Northern IL,42.0883,-88.0906,America/Chicago
225,USA,Louisiana,Baton Rouge,Southeast LA,30.4515,-91.1871,America/Chicago
228,USA,Mississippi,Gulfport,Southern MS,30.3674,-89.0928,America/Chicago
229,USA,Georgia,Albany,Southwest GA,31.5785,-84.1557,America/New_York
231,USA,Michigan,Traverse City,Northwest MI,44.7631,-85.6206,America/New_York
234,USA,Ohio,Akron,Northeast OH,41.0814,-81.5190,America/New_York
239,USA,Florida,Fort Myers,Southwest FL,26.6406,-81.8723,America/New_York
240,USA,Maryland,Rockville,Western MD,39.0840,-77.1528,America/New_York
248,USA,Michigan,Troy,Southeast MI,42.6064,-83.1498,America/New_York
251,USA,Alabama,Mobile,Southwest AL,30.6954,-88.0399,America/Chicago
252,USA,North Carolina,Greenville,Eastern NC,35.6127,-77.3664,America/New_York
253,USA,Washington,Tacoma,Western WA,47.2529,-122.4443,America/Los_Angeles
254,USA,Texas,Waco,Central TX,31.5493,-97.1467,America/Chicago
256,USA,Alabama,Huntsville,Northern AL,34.7304,-86.5861,America/Chicago
260,USA,Indiana,Fort Wayne,Northeast IN,41.0793,-85.1394,America/New_York
262,USA,Wisconsin,Kenosha,Southeast WI,42.5847,-87.8212,America/Chicago
267,USA,Pennsylvania,Philadelphia,Eastern PA,39.9526,-75.1652,America/New_York
269,USA,Michigan,Kalamazoo,Southwest MI,42.2917,-85.5872,America/New_York
270,USA,Kentucky,Bowling Green,Western KY,36.9685,-86.4808,America/Chicago
276,USA,Virginia,Bristol,Southwest VA,36.5951,-82.1887,America/New_York
281,USA,Texas,Houston,Southeast TX,29.7604,-95.3698,America/Chicago
301,USA,Maryland,Rockville,Western MD,39.0840,-77.1528,America/New_York
302,USA,Delaware,Wilmington,All of DE,39.7391,-75.5398,America/New_York
303,USA,Colorado,Denver,Central CO,39.7392,-104.9903,America/Denver
304,USA,West Virginia,Charleston,All of WV,38.3498,-81.6326,America/New_York
305,USA,Florida,Miami,Southeast FL,25.7617,-80.1918,America/New_York
307,USA,Wyoming,Cheyenne,All of WY,41.1400,-104.8202,America/Denver
308,USA,Nebraska,Grand Island,Western NE,40.9264,-98.3420,America/Chicago
309,USA,Illinois,Peoria,Central IL,40.6936,-89.5890,America/Chicago
310,USA,California,Santa Monica,West LA,34.0195,-118.4912,America/Los_Angeles
312,USA,Illinois,Chicago,Downtown Chicago,41.8781,-87.6298,America/Chicago
313,USA,Michigan,Detroit,Southeast MI,42.3314,-83.0458,America/New_York
314,USA,Missouri,St. Louis,Eastern MO,38.6270,-90.1994,America/Chicago
315,USA,New York,Syracuse,Central NY,43.0481,-76.1474,America/New_York
316,USA,Kansas,Wichita,South KS,37.6872,-97.3301,America/Chicago
317,USA,Indiana,Indianapolis,Central IN,39.7684,-86.1581,America/New_York
318,USA,Louisiana,Shreveport,Northwest LA,32.5252,-93.7502,America/Chicago
319,USA,Iowa,Cedar Rapids,Eastern IA,41.9779,-91.6656,America/Chicago
320,USA,Minnesota,St. Cloud,Central MN,45.5579,-94.1632,America/Chicago
321,USA,Florida,Orlando,East Central FL,28.5383,-81.3792,America/New_York
323,USA,California,Los Angeles,Central LA,34.0522,-118.2437,America/Los_Angeles
330,USA,Ohio,Akron,Northeast OH,41.0814,-81.5190,America/New_York
331,USA,Illinois,Aurora,Northern IL,41.7606,-88.3201,America/Chicago
334,USA,Alabama,Montgomery,Southeast AL,32.3668,-86.3000,America/Chicago
336,USA,North Carolina,Greensboro,Central NC,36.0726,-79.7920,America/New_York
337,USA,Louisiana,Lafayette,Southwest LA,30.2241,-92.0198,America/Chicago
339,USA,Massachusetts,Boston,Eastern MA,42.3601,-71.0589,America/New_York
346,USA,Texas,Houston,Southeast TX,29.7604,-95.3698,America/Chicago
347,USA,New York,New York City,Bronx/Brooklyn/Queens,40.7128,-74.0060,America/New_York
351,USA,Massachusetts,Lowell,Northeast MA,42.6334,-71.3162,America/New_York
352,USA,Florida,Gainesville,North Central FL,29.6516,-82.3248,America/New_York
360,USA,Washington,Olympia,Western WA,47.0379,-122.9007,America/Los_Angeles
361,USA,Texas,Corpus Christi,South TX,27.8006,-97.3964,America/Chicago
385,USA,Utah,Salt Lake City,Northern UT,40.7608,-111.8910,America/Denver
386,USA,Florida,Daytona Beach,Northeast FL,29.2108,-81.0228,America/New_York
401,USA,Rhode Island,Providence,All of RI,41.8240,-71.4128,America/New_York
402,USA,Nebraska,Omaha,Eastern NE,41.2565,-95.9345,America/Chicago
404,USA,Georgia,Atlanta,Metro Atlanta,33.7490,-84.3880,America/New_York
405,USA,Oklahoma,Oklahoma City,Central OK,35.4676,-97.5164,America/Chicago
406,USA,Montana,Billings,All of MT,45.7833,-108.5007,America/Denver
407,USA,Florida,Orlando,Central FL,28.5383,-81.3792,America/New_York
408,USA,California,San Jose,Santa Clara County,37.3382,-121.8863,America/Los_Angeles
409,USA,Texas,Beaumont,Southeast TX,30.0802,-94.1266,America/Chicago
410,USA,Maryland,Baltimore,Central MD,39.2904,-76.6122,America/New_York
412,USA,Pennsylvania,Pittsburgh,Western PA,40.4406,-79.9959,America/New_York
413,USA,Massachusetts,Springfield,Western MA,42.1015,-72.5898,America/New_York
414,USA,Wisconsin,Milwaukee,Southeast WI,43.0389,-87.9065,America/Chicago
415,USA,California,San Francisco,SF City,37.7749,-122.4194,America/Los_Angeles
417,USA,Missouri,Springfield,Southwest MO,37.2090,-93.2923,America/Chicago
419,USA,Ohio,Toledo,Northwest OH,41.6528,-83.5379,America/New_York
423,USA,Tennessee,Chattanooga,Southeast TN,35.0456,-85.3097,America/New_York
424,USA,California,Los Angeles,West LA,34.0522,-118.2437,America/Los_Angeles
